identifier,commonName,description,website,foundingDate,parentOrganization
peridot,Peridot,Build system for Enterprise Linux distributions,https://github.com/rocky-linux/peridot,2022-07-22,resf
rockylinux,Rocky Linux,Enterprise Linux distribution,https://rockylinux.org,2020-12-08,resf
