identifier,commonName,description,website,foundingDate,parentOrganization
flex,Apache Flex,"Application framework for expressive web applications that deploy to all major browsers, desktops and devices.",http://flex.apache.org/,12/2012,asf
flink,Apache Flink,platform for scalable batch and stream data processing,http://flink.apache.org/,12/2014,asf
flume,Apache Flume,"A reliable service for efficiently collecting, aggregating, and moving large amounts of log data",http://flume.apache.org/,06/2012,asf
fluo,Apache Fluo,Storage and incremental processing of large data sets,http://fluo.apache.org/,07/2017,asf
freemarker,Apache FreeMarker,a template engine.,http://freemarker.apache.org/,03/2018,asf
geode,Apache Geode,"Low latency, high concurrency data management solutions",http://geode.apache.org/,11/2016,asf
geronimo,Apache Geronimo,"Java2, Enterprise Edition (J2EE) container",http://geronimo.apache.org/,05/2004,asf
giraph,Apache Giraph,Iterative graph processing system built for high scalability,http://giraph.apache.org/,05/2012,asf
gobblin,Apache Gobblin,"a distributed data integration framework that simplifies common aspects of big data integration such as data ingestion, replication, organization and lifecycle management for both streaming and batch data ecosystems",http://gobblin.apache.org,01/2021,asf
gora,Apache Gora,ORM framework for column stores such as Apache HBase and Apache Cassandra with a specific focus on Hadoop,http://gora.apache.org/,01/2012,asf
griffin,Apache Griffin,"a data quality solution for big data, including both streaming and batch mode. It offers an unified process to measure data quality from different perspectives.",http://griffin.apache.org/,11/2018,asf
groovy,Apache Groovy,A multi-faceted language for the Java platform,http://groovy.apache.org/,11/2015,asf
guacamole,Apache Guacamole,"providing performant, browser-based remote access",http://guacamole.apache.org/,11/2017,asf
gump,Apache Gump,Continuous integration of open source projects,http://gump.apache.org/,02/2004,asf
hadoop,Apache Hadoop,Distributed computing platform,http://hadoop.apache.org/,01/2008,asf
hawq,Apache HAWQ,a Hadoop native SQL query engine that combines the key technological advantages of an MPP database with the scalability and convenience of Hadoop,http://hawq.apache.org/,08/2018,asf
hbase,Apache HBase,Apache Hadoop Database,http://hbase.apache.org/,04/2010,asf
helix,Apache Helix,A cluster management framework for partitioned and replicated distributed resources,http://helix.apache.org/,12/2013,asf
hive,Apache Hive,Data warehouse infrastructure using the Apache Hadoop Database,http://hive.apache.org/,09/2010,asf
hop,Apache Hop,a platform for data orchestration,http://hop.apache.org,12/2021,asf
httpd,Apache HTTP Server,Apache Web Server (httpd),http://httpd.apache.org/,02/1995,asf
httpcomponents,Apache HttpComponents,Java toolset of low level HTTP components,http://hc.apache.org/,11/2007,asf
hudi,Apache Hudi,providing atomic upserts and incremental data streams on Big Data,http://hudi.apache.org,05/2020,asf
iceberg,Apache Iceberg,managing huge analytic datasets using a standard at-rest table format that is designed for high performance and ease of use,http://iceberg.apache.org,05/2020,asf
ignite,Apache Ignite,"High-performance, integrated and distributed in-memory platform for computing and transacting on large-scale data sets in real-time",http://ignite.apache.org/,08/2015,asf
impala,Apache Impala,a high-performance distributed SQL engine,http://impala.apache.org/,11/2017,asf
incubator,Apache Incubator,Entry path for projects and codebases wishing to become part of the Foundation's efforts,http://incubator.apache.org/,10/2002,asf
inlong,Apache InLong,"a one-stop data integration framework that provides automatic, secure, and reliable data transmission capabilities. InLong supports both batch and stream data processing at the same time, which offers great power to build data analysis, modeling, and other real-time applications based on streaming data",http://inlong.apache.org,06/2022,asf
iotdb,Apache IoTDB,an IoT native database with high performance for data management and analysis,http://iotdb.apache.org,09/2020,asf
jackrabbit,Apache Jackrabbit,Content Repository for Java,http://jackrabbit.apache.org/,03/2006,asf
james,Apache James,Java Apache Mail Enterprise Server,http://james.apache.org/,01/2003,asf
jclouds,Apache jclouds,Java cloud APIs and abstractions,http://jclouds.apache.org/,10/2013,asf
jena,Apache Jena,Java framework for building Semantic Web applications,http://jena.apache.org/,04/2012,asf
jmeter,Apache JMeter,Java performance and functional testing,http://jmeter.apache.org/,10/2011,asf
johnzon,Apache Johnzon,JSR-353 compliant JSON parsing; modules to help with JSR-353 as well as JSR-374 and JSR-367,http://johnzon.apache.org/,04/2016,asf
jspwiki,Apache JSPWiki,"Leading open source WikiWiki engine, feature-rich and built around standard J2EE components (Java, servlets, JSP)",http://jspwiki.apache.org/,07/2013,asf
juneau,Apache Juneau,"a toolkit for marshalling POJOs to a wide variety of content types using a common framework, and for creating sophisticated self-documenting REST interfaces and microservices using VERY little code",http://juneau.apache.org/,10/2017,asf
kafka,Apache Kafka,Distributed publish-subscribe messaging system,http://kafka.apache.org/,11/2012,asf
karaf,Apache Karaf,Server-side OSGi distribution,http://karaf.apache.org/,06/2010,asf
kibble,Apache Kibble,an interactive project activity analyzer and aggregator,http://kibble.apache.org/,10/2017,asf
knox,Apache Knox,Simplify and normalize the deployment and implementation of secure Hadoop clusters,http://knox.apache.org/,02/2014,asf
kudu,Apache Kudu,A distributed columnar storage engine built for the Apache Hadoop ecosystem,http://kudu.apache.org/,07/2016,asf
kylin,Apache Kylin,Extreme OLAP Engine for Big Data,http://kylin.apache.org/,11/2015,asf
kyuubi,Apache Kyuubi,a distributed and multi-tenant gateway to provide serverless SQL on data warehouses and lakehouses,http://kyuubi.apache.org,12/2022,asf
libcloud,Apache Libcloud,Unified interface to the cloud,http://libcloud.apache.org/,05/2011,asf
linkis,Apache Linkis,"a distributed computation middleware to facilitate connection, governance and orchestration between the upper applications and the underlying data engines",http://linkis.apache.org,12/2022,asf
logging,Apache Logging Services,Cross-language logging services,http://logging.apache.org/,12/2003,asf
lucene,Apache Lucene,Search engine library,http://lucene.apache.org/,01/2005,asf
lucenenet,Apache Lucene.Net,Search engine library targeted at .NET runtime users.,http://lucenenet.apache.org/,08/2012,asf
madlib,Apache MADlib,"Scalable, Big Data, SQL-driven machine learning framework for Data Scientists",http://madlib.apache.org/,07/2017,asf
mahout,Apache Mahout,Scalable machine learning library,http://mahout.apache.org/,04/2010,asf
manifoldcf,Apache ManifoldCF,Framework for connecting source content repositories to target repositories or indexes.,http://manifoldcf.apache.org/,05/2012,asf
maven,Apache Maven,Java project management and comprehension tools,http://maven.apache.org/,03/2003,asf
mesos,Apache Mesos,a cluster manager that provides efficient resource isolation and sharing across distributed applications,http://mesos.apache.org/,06/2013,asf
mina,Apache MINA,Multipurpose Infrastructure for Network Application,http://mina.apache.org/,10/2006,asf
mnemonic,Apache Mnemonic,"a transparent nonvolatile hybrid memory oriented library for Big data, High-performance computing, and Analytics",http://mnemonic.apache.org/,12/2020,asf
mxnet,Apache MXNet,a flexible and efficient library for Deep Learning,http://mxnet.apache.org,09/2022,asf
myfaces,Apache MyFaces,JavaServer(tm) Faces implementation and components,http://myfaces.apache.org/,02/2005,asf
mynewt,Apache Mynewt,embedded OS optimized for networking and built for remote management of constrained devices,http://mynewt.apache.org/,06/2017,asf
netbeans,Apache NetBeans,"development environment, tooling platform, and application framework",http://netbeans.apache.org/,04/2019,asf
nifi,Apache NiFi,"Easy to use, powerful, and reliable system to process and distribute data",http://nifi.apache.org/,07/2015,asf
nutch,Apache Nutch,Open Source Web Search Software,http://nutch.apache.org/,04/2010,asf
nuttx,Apache NuttX,"a mature, real-time embedded operating system (RTOS)",http://nuttx.apache.org,11/2022,asf
ofbiz,Apache OFBiz,Enterprise automation software,http://ofbiz.apache.org/,12/2006,asf
olingo,Apache Olingo,OASIS OData protocol libraries,http://olingo.apache.org/,03/2014,asf
oozie,Apache Oozie,A workflow scheduler system to manage Apache Hadoop jobs.,http://oozie.apache.org/,08/2012,asf
openjpa,Apache OpenJPA,Object Relational Mapping for Java,http://openjpa.apache.org/,05/2007,asf
openmeetings,Apache OpenMeetings,Web-Conferencing and real-time collaboration,http://openmeetings.apache.org/,01/2013,asf
opennlp,Apache OpenNLP,Machine learning based toolkit for the processing of natural language text,http://opennlp.apache.org/,02/2012,asf
openoffice,Apache OpenOffice,"An open-source, office-document productivity suite",http://openoffice.apache.org/,10/2012,asf
openwebbeans,Apache OpenWebBeans,JSR-299 Context and Dependency Injection for Java EE Platform Implementation,http://openwebbeans.apache.org/,12/2009,asf
openwhisk,Apache OpenWhisk,a platform for building serverless applications with functions,http://openwhisk.apache.org/,07/2019,asf
orc,Apache ORC,"the smallest, fastest columnar storage for Hadoop workloads",http://orc.apache.org/,04/2015,asf
ozone,Apache Ozone,a distributed object store for Hadoop-based and Cloud-native environments,http://ozone.apache.org,10/2020,asf
parquet,Apache Parquet,columnar storage format available to any project in the Apache Hadoop ecosystem,http://parquet.apache.org/,04/2015,asf
pdfbox,Apache PDFBox,Java library for working with PDF documents,http://pdfbox.apache.org/,10/2009,asf
perl,Apache Perl,Dynamic websites using Perl,http://perl.apache.org/,03/2000,asf
petri,Apache Petri,"assessment of, education in, and adoption of the Foundation's policies and procedures for collaborative development and the pros and cons of joining the Foundation",http://petri.apache.org,11/2019,asf
phoenix,Apache Phoenix,High performance relational database layer over Apache HBase for low latency applications,http://phoenix.apache.org/,05/2014,asf
pig,Apache Pig,Platform for analyzing large data sets,http://pig.apache.org/,09/2010,asf
pinot,Apache Pinot,distributed OLAP data store to provide Real-time Analytics to power wide variety of analytical use case,http://pinot.apache.org,07/2021,asf
