name,url,notes,year,sponsored,mixed,volunteer
Credit report 2015-2016,https://dri.es/who-sponsors-drupal-development,First year of contribution credits program meant many credits weren't marked at all (and are assumed mixed).,2016,39%,51%,10%
Credit report 2016-2017,https://dri.es/who-sponsors-drupal-development-2017,"Approximately 28% of commits don't have credit data, so may be counted as mixed.",2017,46%,43%,11%
Credit report 2017-2018,https://dri.es/who-sponsors-drupal-development-2018,"Approx 25% of credits are unmarked, and may be counted as mixed.",2018,49%,39%,12%
Credit report 2018-2019,https://dri.es/who-sponsors-drupal-development-2019,,2019,55%,29%,16%
Credit report 2019-2020,https://dri.es/who-sponsors-drupal-development-2020,,2020,69%,16%,15%
Credit report 2020-2021,https://dri.es/who-sponsors-drupal-development-2021,Links to all past reports,2021,68%,16%,16%
Contribution Credit overview page,https://www.drupal.org/drupalorg/contribution-credit,,,,,
Original description and format for Drupal credit system,https://dri.es/a-method-for-giving-credit-to-organizations-that-contribute-code-to-open-source,,,,,
